Name,Title,Rating,Comment
Dimpy,"







  
  
    Without a doubt a masterpiece! 👍
  
",5.0 out of 5 stars,"







  
  
    ""What did God do before he created the universe? Augustine didn’t reply: He was preparing Hell for people who asked such questions. Instead, he said that time was a property of the universe that God created, and that time did not exist before the beginning of the universe.""Stephen Hawking takes us on a journey from the time when the world believed that Earth was the center of the universe and supported on the back of a giant tortoise to our age when we know better. Without the use of any mathematical equation, except the one famous mass energy equivalence relation by Einstein, he has explained the nature of our universe, from the smallest particles which cannot be seen to the biggest entities, the black holes in a simple language.The manner in which Hawking broke down complex concepts in theoretical physics, along with his adept use of humor, he clearly won over the readers who otherwise might have found themselves intimidated by physics and maths.I recommend it to all people who are interested in physics and cosmology but hate equations. 😄
  
"
Amazon Customer,"







  
  
    Must buy this book.Best book that is ever read by me.
  
",5.0 out of 5 stars,"







  
  
    A very good book.This book is like a tree.You can climb up that tree and when you reach the top you have a very clear view of everything . But climbing the tree up is somewhat difficult while you are still on the trunk.The first two chapters form this ""trunk"" and the rest are branches.If you suceed in climbing up the trunk then nobody can stop you from reaching the top.
  
"
Pratap Bhattacharyya,"







  
  
    About the Product
  
",5.0 out of 5 stars,"







  
  
    There is no comparison of this book from the beaning of astronomy till the modern world and thoughts of future.The Grate Stephen Hawkings is the write which makes the book more legendary.Grate to read the language is not much difficult to understand .Nearly All my Dough of the space science has been cleared by this book.
  
"
Sawita,"







  
  
    Intriguing read for those who wonder about our universe!
  
",5.0 out of 5 stars,"







  
  
    A brief history of time... What a fascinating book! This is probably the first time I read through an entire book where I only understood a fraction of what was explained, due to my limited understanding on the topic. In other circumstances I would have left it incomplete. However with this gem, it made me wonder about various principles I had heard about in high school, and search for some cool videos online explaining them in an easy to understand language.If you have wondered about the big bang, black holes, elementary particles, general relativity, quantum mechanics, space and time, or the laws of the universe, this book is for you!This book reminds one of how beautiful, fascinating and intriguing our universe is! I don't think the author could have simplified things any further. I rate the book a 5-star for keeping me engaged, for making me explore concepts I wouldn't have otherwise, and for reminding me of the wonders of the universe.
  
"
Ravi Garlay,"







  
  
    The best book for a Physics Lover
  
",5.0 out of 5 stars,"







  
  
    This book is really a proof that why was Stephen Hawking One of the best Physicist after Albert Einstien ...I mean it explains the high level concepts in a way that anyone can easily understand ..You can easily understand the complexity of high level concepts in Easiest way..If you're a at least +1 student and a physics lover ...This one is for you..And it adds more interest If you are interested in astrophysics ...This book is a MUST...And the hardest thing about the book is that you can't put it down...once you start reading it...it makes you understand and inspires you to think,which I find very amazing
  
"
Dipak,"







  
  
    My one of the best books ever !!
  
",5.0 out of 5 stars,"







  
  
    It is a great book for everyone. Writing the product review after few days of reading-Delivery- Well on time. Was informed over Email and SMS.Packaging- Well packed in the brown corrugated box with bubbles wrap inside.Book-  1. Lightweight material. Good to carry and in a small size.  2. Page quality and printing is average (expected at this price point) however not an issue with legibility.  3. Cover and back are thick paper with plastic coating.  4. The language is very simple and easy to understand. Any fifth standard and above child should be able to  read it. The understandabilty of contents is great due to easy language used.  5. The topics are covered in good detail with explanation. The interesting contents about space and time are  something that we should know and understand.I recommend this book for the people who has interest in Space, Time, Planets and Science. I great book for students.If you found the review helpful, please like it.
  
"
Biswajit Chatterjee,"







  
  
    Tough read but Hawking makes it easier
  
",5.0 out of 5 stars,"







  
  
    It’s a 200 pages of book which you might think is a one day read but actually it’s not. It’s complicated and hard to understand at times but what makes this book a masterpiece is the way Hawking explains all the scientific terms in a way that a normal brain can understand it. I loved the way he concluded the book by give briefings on Einstein, Galalio and Newton they were all two pages briefings but they changed my viewpoint on these scientists forever. Take your time and read this.
  
"
Archana,"







  
  
    Cheap paper quality
  
",3.0 out of 5 stars,"







  
  
    I haven't read the book yet so content wise I can't commend. But my problem is with it's quality. The paper quality is very poor and it looks like a second quality stuff. The original rate printed is 399 and I got it for 189 because of the amazon sale. Since I got it so cheap I don't have much to complain I guess, but those who want to buy a good hard copy of this book please look elsewhere. Will update about the actual book content when I finish reading it.
  
"
kumar,"







  
  
    Fake copy. Missing pages
  
",1.0 out of 5 stars,"







  
  
    Book feels like a copied version. With unaligned texts on pages. Missing pages from 15-46 and ok print quality
  
"
KK Mahendra,"







  
  
    Good book.
  
",5.0 out of 5 stars,"







  
  
    The book is written by a Scientist who is not only authority on the subject but is also known for making science simple for a layman to understand.Right from the time of Aristotle ( 350 B C ), Scientists & Philosophers have been  trying to know more & more about our universe. This book tells us about the various models & theories made & modified from time to time to reach our present day knowledge of universe.At least high school knowledge and interest in  Physics is required to appreciate this book.
  
"
